Win,Map #1,45.461sec,96.0
Win,Map #2,58.857sec,95.0
Lose,Map #1,20.580sec,-47.0
Win,Map #1,57.191sec,95.0
Win,Map #1,45.543sec,71.0
Win,Map #1,54.086sec,95.0
Lose,Map #1,31.607sec,-28.0,Minimax(deep = 4)
Lose,Map #1,15.140sec,-56.0,Minimax(deep = 4)
Lose,Map #1,30.776sec,-78.0,Minimax(deep = 4)
Lose,Map #1,36.836sec,12.0,Minimax(deep = 2)
Win,Map #1,34.149sec,72.0,Minimax(deep = 4)
Win,Map #2,55.308sec,70.0,Minimax(deep = 4)
Win,Map #3,52.847sec,70.0,Minimax(deep = 4)
Lose,Map #1,29.373sec,-47.0,Minimax(deep = 4)
Lose,Map #1,24.905sec,-67.0,Minimax(deep = 4)
Win,Map #1,33.700sec,97.0,Minimax(deep = 4)
Win,Map #1,56.722sec,70.0,Minimax(deep = 4)
Win,Random map,64.674sec,94.0,Minimax(deep = 4)
Win,Map #1,30.280sec,97.0,Minimax(deep = 4)
Lose,Map #1,25.867sec,-17.0,Expectimax(deep = 2)
Lose,Map #1,47.161sec,11.0,Expectimax(deep = 2)
Lose,Map #1,26.289sec,-17.0,Minimax(deep = 2)
Win,Map #1,38.150sec,72.0,Minimax(deep = 2)
Lose,Map #1,12.980sec,-56.0,Minimax(deep = 2)
Lose,Map #1,3.5044sec,-75.0,Minimax(deep = 2)
Win,Map #1,47.703sec,71.0,Minimax(deep = 2)
Lose,Map #1,27.019sec,-7.0,Minimax(deep = 2)
Win,Map #1,53.945sec,45.0,Minimax(deep = 2)
Win,Random map,65.919sec,94.0,Expectimax
Win,Random map,69.811sec,44.0,Expectimax
Lose,Map #1,26.026sec,-17.0,Minimax(deep = 2)
Lose,Map #1,13.952sec,-36.0,Minimax(deep = 2)
Win,Map #1,35.141sec,72.0,Minimax(deep = 2)
Lose,Map #1,24.553sec,-27.0,Minimax(deep = 2)
Lose,Map #1,36.018sec,2.0,Minimax(deep = 2)
Win,Map #1,46.141sec,46.0,Minimax(deep = 2)
